Asset,Pattern,h,N_high,Mean_high,Std_high,Median_high,Positive_ratio_high,N_low,Mean_low,Std_low,Median_low,Positive_ratio_low,Welch_ttest_pvalue_high_vs_low,Mann_Whitney_pvalue_high_vs_low,Levene_pvalue_high_vs_low,KS_pvalue_high_vs_low
XAU/USD,evening_star,3,825,0.00025557386496961903,0.0044107990122643536,0.0002307546916039219,0.5345454545454545,1230,1.3725402993084934e-05,0.0032808239978060123,0.00010518533864486282,0.5252032520325203,0.17884264314419518,0.08370642202635524,7.643227870454823e-06,0.011581368784596001
XAU/USD,evening_star,5,824,0.00046511301100853216,0.005484793640046589,0.00043108529310239207,0.5521844660194175,1230,6.280404473402916e-05,0.004501389167162887,0.00013832881197966673,0.5203252032520326,0.08069730402570115,0.06890873257262045,0.002011728076017787,0.12765572180366414
XAU/USD,hammer,1,178,-0.00013917718848602327,0.0029330898381034155,5.389440822689785e-05,0.5168539325842697,259,-5.2622238862132424e-05,0.0019612504612382684,9.844990622775573e-06,0.5096525096525096,0.7308426177151921,0.9732489019057098,0.00219399787650086,0.35382112603464705
XAU/USD,hammer,3,178,-0.00013623761953601406,0.00412825443161709,-0.0001156232971568633,0.47752808988764045,259,-0.00013815340010797655,0.003979645715112639,0.00025197461004565475,0.5405405405405406,0.9961435328983541,0.6036241125561904,0.39166592727961613,0.5986037171425382
XAU/USD,hammer,5,178,-0.0003045483186191775,0.006915318065546734,0.00011472261073863107,0.5168539325842697,259,-0.000219837304895472,0.0053802678455770496,-0.0001637500958867716,0.47876447876447875,0.8908472999339115,0.46466230887288085,0.24761655996961587,0.5275595439612127
XAU/USD,hanging_man,1,201,-0.00010544633796902682,0.002187780631056211,-9.858172043469657e-05,0.47761194029850745,292,0.00011673892776801235,0.00193336515170622,-9.714663162892635e-05,0.4657534246575342,0.24627869180081344,0.5975985963919144,0.015483292357896604,0.0641513061228064
XAU/USD,hanging_man,3,201,0.0001764852716487532,0.003597137487880894,2.550610488761507e-05,0.5074626865671642,292,0.0001624917430415619,0.0036110434817216443,-0.00014989911420908625,0.4657534246575342,0.9662161305083016,0.4611581589860494,0.435300263615811,0.552365824900509
XAU/USD,hanging_man,5,201,0.0003473466511976525,0.004918711049188231,0.00012256745403746834,0.527363184079602,292,0.00020230869858212273,0.004329468313344289,-0.00028880050099297635,0.4486301369863014,0.7358383243833447,0.25415607405890095,0.07920170166072629,0.13210766999234347
XAU/USD,morning_star,1,782,-0.00010241089379221381,0.002757788214756992,5.685536155475973e-06,0.5012787723785166,1218,-2.4207503030680316e-05,0.0019344352944508823,-5.1349641545206756e-05,0.47372742200328405,0.4895127980044096,0.7821712014452994,5.440856111257733e-13,0.0003302360895723698
XAU/USD,morning_star,3,782,-0.00014282384435756877,0.004822141446039724,3.608444106530961e-05,0.5063938618925832,1218,0.0001791707940240486,0.003350143132442527,0.00010578139919755131,0.5147783251231527,0.10302818238227134,0.16629747782890392,6.358220922670645e-07,0.005541782137097418
XAU/USD,morning_star,5,782,4.3022944008990446e-05,0.0056846504356964965,5.504751941471351e-05,0.5089514066496164,1218,0.0002991089286956016,0.004481803049784345,0.00021433032344615028,0.5221674876847291,0.287044767589165,0.4950618048112505,0.0022164070795161993,0.27010702370061235
XAU/USD,spinning_top,1,1768,-2.006399683279761e-05,0.002499768991555114,-3.714830835872094e-05,0.49490950226244346,2864,2.489348085658122e-05,0.0018884021108497196,2.3385860545697994e-05,0.5066340782122905,0.5155532937906119,0.3613395983727111,1.6484369262494056e-23,1.0796198755125707e-07
XAU/USD,spinning_top,3,1768,0.00012931009217301552,0.004085239749658096,7.939413597385642e-05,0.5118778280542986,2864,0.0001515342854667562,0.0033535060844607613,0.00011815245821807709,0.5223463687150838,0.8475742839158567,0.9585948718808259,5.910846765854723e-10,0.03234645649805722
XAU/USD,spinning_top,5,1767,0.0004456707104712577,0.0052336141003662935,0.0003156223210631499,0.5410299943406904,2864,0.00022844872620524155,0.0044030212265461985,0.00012380566687154204,0.515013966480447,0.145600837379974,0.13995676654885164,3.3847144855577855e-06,0.03734038075727071
